episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
41,230.0,356,23570,0.25,0.05181683880392085,63.39175249999971,True,False
42,400.0,486,24056,0.25,0.04744579880422012,64.74977162499272,True,False
43,540.0,504,24560,0.25,0.05291579895475436,66.1444074579922,True,False
44,310.0,376,24936,0.25,0.051882263897185,67.20521516598819,True,False
45,1230.0,825,25761,0.25,0.05583596239499386,69.46838370799378,True,False
46,1040.0,768,26529,0.25,0.056252501354416985,71.58713345798606,True,False
47,520.0,493,27022,0.25,0.058548765037420805,72.96531820799282,True,False
48,1090.0,877,27899,0.25,0.05878025913168782,75.38140654099698,True,False
49,740.0,770,28669,0.25,0.05414882454287666,77.51697579098982,True,False
50,400.0,537,29206,0.25,0.05183866682615298,79.02084345799813,True,False
51,580.0,511,29717,0.25,0.0575634416018147,81.15794987499248,True,False
52,1070.0,1038,30755,0.25,0.060446064667524516,84.02180062499247,True,False
53,900.0,716,31471,0.25,0.05796061153913843,86.02494362498692,True,False
54,480.0,497,31968,0.25,0.05687759172916412,87.41994424999575,True,False
55,520.0,416,32384,0.25,0.05964081177416329,88.58578104099433,True,False
56,530.0,682,33066,0.25,0.06031208366758245,90.47007908299565,True,False
57,590.0,549,33615,0.25,0.0603740394938003,92.00627224998607,True,False
58,460.0,551,34166,0.25,0.05827175333853001,93.55241333298909,True,False
59,210.0,466,34632,0.25,0.06674195773119473,94.86514516599709,True,False
60,550.0,541,35173,0.25,0.060290083051141766,96.37154720799299,True,False
61,1060.0,855,36028,0.25,0.059538741004174556,98.74083812499885,True,False
62,400.0,416,36444,0.25,0.06880789816540737,99.915739707998,True,False
63,790.0,786,37230,0.25,0.0649854311154091,102.0895551249996,True,False
64,1540.0,1129,38359,0.25,0.0685160087243198,105.22076162499434,True,False
65,380.0,465,38824,0.25,0.06211575680277032,106.53400066599716,True,False
66,430.0,486,39310,0.25,0.07115414307629767,107.89580999998725,True,False
67,500.0,548,39858,0.25,0.06899127556541323,109.43432095799653,True,False
68,530.0,512,40370,0.25,0.07505297934403643,110.88149433299259,True,False
69,350.0,403,40773,0.25,0.058563192854497105,112.02864195799339,True,False
70,240.0,415,41188,0.25,0.07690831526325873,113.20870379099506,True,False
71,480.0,527,41715,0.25,0.05967222510318037,114.67912741599139,True,False
72,980.0,763,42478,0.25,0.06884474015711801,116.9320486249926,True,False
73,2340.0,826,43304,0.25,0.06916187044485035,119.251023290999,True,False
74,1100.0,883,44187,0.25,0.06828902091153644,121.73086724999303,True,False
75,730.0,560,44747,0.25,0.07036719093697943,123.31635033299972,True,False
76,510.0,629,45376,0.25,0.06625651624466328,125.67586054099957,True,False
77,1110.0,595,45971,0.25,0.0696942066597576,127.33898954099277,True,False
78,1250.0,727,46698,0.25,0.06658943452882571,129.38384220798616,True,False
