episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
103,1550.0,630,61417,0.15,0.09026975726968126,222.45440870799996,True,False
104,760.0,638,62055,0.15,0.09966298942483447,224.59545233300003,True,False
105,1440.0,910,62965,0.15,0.097513009054717,227.81027762500003,True,False
106,870.0,637,63602,0.15,0.10784949566114624,229.884060083,True,False
107,1130.0,825,64427,0.15,0.10545603007313262,233.39222745799998,True,False
108,1110.0,872,65299,0.15,0.10967086665674088,236.84218483300003,True,False
109,360.0,389,65688,0.15,0.10724058036445355,238.05218349999996,True,False
110,1590.0,1164,66852,0.15,0.09842533777592723,241.969956958,True,False
111,410.0,435,67287,0.15,0.0999142986084162,243.54673708300004,True,False
112,280.0,350,67637,0.15,0.1037815526466478,244.72188108299997,True,False
113,1150.0,747,68384,0.15,0.11270056257552323,247.19983337500003,True,False
114,470.0,585,68969,0.15,0.1016305653977986,249.09069720800005,True,False
115,820.0,670,69639,0.15,0.10190200473287862,251.21170595799992,True,False
116,500.0,537,70176,0.15,0.10231493737686563,252.97615295799994,True,False
117,1280.0,759,70935,0.15,0.10220243234345049,255.419340583,True,False
118,770.0,621,71556,0.15,0.11117095995742159,257.5450434999999,True,False
119,290.0,375,71931,0.15,0.10930711309355433,258.9845274580001,True,False
120,330.0,424,72355,0.15,0.11286958048717594,260.347270333,True,False
121,530.0,560,72915,0.15,0.09999521423929504,262.13066541699993,True,False
122,510.0,513,73428,0.15,0.11485081867047751,263.81809654200003,True,False
123,270.0,322,73750,0.15,0.1069285896141082,264.88342049999994,True,False
124,780.0,670,74420,0.15,0.11357658432929643,267.020674792,True,False
125,420.0,475,74895,0.15,0.11582584960102024,268.71822166699997,True,False
126,690.0,619,75514,0.15,0.11194668211523563,271.67862041699993,True,False
127,620.0,547,76061,0.15,0.11877522083257672,273.47717920799994,True,False
128,470.0,425,76486,0.15,0.10865516642565434,274.9056011670001,True,False
129,390.0,420,76906,0.15,0.10484454292981397,276.22804766699994,True,False
130,310.0,431,77337,0.15,0.11266587948840526,277.665343708,True,False
131,550.0,534,77871,0.15,0.14069988575756998,279.386087083,True,False
132,760.0,706,78577,0.15,0.12484457192279524,281.6880836250001,True,False
133,1300.0,734,79311,0.15,0.11916476247903428,284.01766529200006,True,False
134,1210.0,597,79908,0.15,0.11898798906554778,286.0216025000001,True,False
135,1110.0,731,80639,0.15,0.1252178783211243,288.53393404199994,True,False
136,780.0,644,81283,0.15,0.10825880790441673,290.647056958,True,False
137,480.0,440,81723,0.15,0.11393438656391068,292.06595370799994,True,False
138,500.0,500,82223,0.15,0.12026616598665714,293.7428415830001,True,False
139,510.0,508,82731,0.15,0.1099050420622422,296.09585108299996,True,False
140,700.0,542,83273,0.15,0.11673443071434603,297.842679042,True,False
141,710.0,685,83958,0.15,0.10563062417337246,300.16906000000006,True,False
142,1090.0,778,84736,0.15,0.14352355785667897,302.77186295800004,True,False
143,520.0,468,85204,0.15,0.11136721553774472,304.31452745800004,True,False
144,220.0,373,85577,0.15,0.09886564947264169,305.550893708,True,False
145,350.0,360,85937,0.15,0.11208826878832447,306.84716975000003,True,False
146,1460.0,645,86582,0.15,0.12149699841573927,309.072259958,True,False
147,470.0,489,87071,0.15,0.11919813265749177,310.742443667,True,False
148,790.0,605,87676,0.15,0.1080956342507546,312.77168570800006,True,False
149,650.0,565,88241,0.15,0.1255335280050834,314.624226542,True,False
150,470.0,515,88756,0.15,0.11404740142585464,316.254257208,True,False
151,1150.0,698,89454,0.15,0.13701076679274268,319.32317958300007,True,False
152,330.0,337,89791,0.15,0.13529004529118538,320.42570987500005,True,False
153,1760.0,1069,90860,0.15,0.11979894417880187,323.921694042,True,False
154,650.0,524,91384,0.15,0.1062905103224152,325.616078333,True,False
155,740.0,762,92146,0.15,0.12338197625389224,328.04524716699996,True,False
156,1420.0,902,93048,0.15,0.11153354315268518,330.9672375419999,True,False
157,310.0,353,93401,0.15,0.1315374382644553,332.1212025420001,True,False
158,780.0,618,94019,0.15,0.12113575028957098,334.17086979199996,True,False
159,1410.0,753,94772,0.15,0.12566052543777953,336.6707130000001,True,False
160,760.0,545,95317,0.15,0.11129493725157398,338.38487158300006,True,False
161,910.0,605,95922,0.15,0.12867458247339095,340.31340020799996,True,False
162,540.0,423,96345,0.15,0.12657081848889026,341.713842583,True,False
163,1600.0,961,97306,0.15,0.11520544292870909,344.91562458300007,True,False
164,430.0,403,97709,0.15,0.11590663343667984,346.2637801249999,True,False
165,370.0,430,98139,0.15,0.11201734367375062,347.69221141700007,True,False
166,660.0,554,98693,0.15,0.12363375598738949,349.65783020800006,True,False
167,660.0,612,99305,0.15,0.1304634626394783,351.7589313330001,True,False
168,610.0,583,99888,0.15,0.12483032512134068,353.709838333,True,False
169,1540.0,771,100659,0.15,0.13280564006223963,356.913301167,True,False
170,590.0,449,101108,0.15,0.1168175538820503,358.317647792,True,False
171,380.0,467,101575,0.15,0.12400499572335132,359.87948608299996,True,False
172,1450.0,831,102406,0.15,0.1262302620587154,362.7546516670001,True,False
173,620.0,519,102925,0.15,0.10654559328865547,364.43359599999997,True,False
174,560.0,617,103542,0.15,0.12383504020800064,366.69085175,True,False
175,850.0,801,104343,0.15,0.1273504145350307,369.31279066700006,True,False
176,890.0,734,105077,0.15,0.11789420533560864,372.4584457919999,True,False
177,720.0,693,105770,0.15,0.1040596272365723,375.15042304199994,True,False
178,910.0,752,106522,0.15,0.12932824093769205,377.5595608330001,True,False
179,530.0,589,107111,0.15,0.14380769315017325,379.5320881670001,True,False
180,470.0,486,107597,0.15,0.12257136853381259,381.18629,True,False
181,350.0,396,107993,0.15,0.13003224760971285,382.4886284170001,True,False
182,780.0,564,108557,0.15,0.11162267548712433,384.309940792,True,False
183,480.0,545,109102,0.15,0.12740369242451646,386.08572004199993,True,False
